t_s,v_in
1073.709295,2.8000000000000003
1073.7092955,2.4000000000000004
1073.709296,2.6
1073.7092965000002,2.2
1073.709297,2.4000000000000004
1073.7092975,2.0
1073.709298,2.2
1073.7092985000002,1.8
1073.709299,2.0
1073.7092995,1.6
1073.7093,1.6
1073.7093005000002,1.4000000000000001
1073.709301,1.4000000000000001
1073.7093015,1.0
1073.709302,1.2000000000000002
1073.7093025000001,0.6000000000000001
1073.709303,0.8
1073.7093035,0.4
1073.709304,0.4
1073.7093045000001,0.0
1073.709305,0.2
1073.7093055,-0.4
1073.709306,0.0
1073.7093065000001,-0.6000000000000001
1073.709307,-0.4
1073.7093075,-1.0
1073.709308,-0.8
1073.7093085000001,-1.2000000000000002
1073.709309,-1.0
1073.7093095,-1.4000000000000001
1073.70931,-1.2000000000000002
1073.7093105000001,-1.8
1073.709311,-1.4000000000000001
1073.7093115,-1.8
1073.709312,-1.6
1073.7093125000001,-2.0
1073.709313,-1.8
1073.7093135,-2.2
1073.709314,-2.0
1073.7093145000001,-2.2
1073.709315,-2.2
1073.7093155,-2.0
1073.7093160000002,-2.0
1073.7093165,-2.4000000000000004
1073.709317,-2.4000000000000004
1073.7093175,-2.0
1073.7093180000002,-2.2
1073.7093185,-2.0
1073.709319,-2.2
1073.7093195,-1.8
1073.7093200000002,-2.2
1073.7093205,-1.8
1073.709321,-2.0
1073.7093215,-1.6
1073.7093220000002,-1.8
1073.7093225,-1.4000000000000001
1073.709323,-1.6
1073.7093235,-1.2000000000000002
1073.7093240000002,-1.2000000000000002
1073.7093245,-1.0
1073.709325,-1.0
1073.7093255,-0.6000000000000001
1073.7093260000001,-0.8
1073.7093265,-0.4
1073.709327,-0.4
1073.7093275,0.0
1073.7093280000001,-0.2
1073.7093285,0.4
1073.709329,0.2
1073.7093295,0.6000000000000001
1073.7093300000001,0.4
1073.7093305,1.0
1073.709331,0.8
1073.7093315,1.2000000000000002
1073.7093320000001,1.2000000000000002
1073.7093325,1.6
1073.709333,1.4000000000000001
1073.7093335,1.8
1073.7093340000001,1.6
1073.7093345,2.0
1073.709335,2.0
1073.7093355,2.4000000000000004
1073.7093360000001,2.2
1073.7093365,2.4000000000000004
1073.709337,2.4000000000000004
1073.7093375,2.6
1073.7093380000001,2.6
1073.7093385,2.8000000000000003
1073.709339,2.6
1073.7093395000002,3.0
1073.70934,2.8000000000000003
1073.7093405,3.0
1073.709341,3.0
1073.7093415000002,2.8000000000000003
1073.709342,2.8000000000000003
1073.7093425,3.0
1073.709343,3.0
1073.7093435000002,2.6
1073.709344,2.8000000000000003
1073.7093445,2.4000000000000004
1073.709345,2.8000000000000003
1073.7093455000002,2.4000000000000004
1073.709346,2.6
1073.7093465,2.2
1073.709347,2.4000000000000004
1073.7093475000001,2.0
1073.709348,2.2
1073.7093485,1.8
1073.709349,2.0
1073.7093495000001,1.6
1073.70935,1.6
1073.7093505,1.2000000000000002
1073.709351,1.4000000000000001
1073.7093515000001,1.0
1073.709352,1.2000000000000002
1073.7093525,0.6000000000000001
1073.709353,0.8
1073.7093535000001,0.4
1073.709354,0.4
1073.7093545,0.0
1073.709355,0.2
1073.7093555000001,-0.4
1073.709356,-0.2
1073.7093565,-0.6000000000000001
1073.709357,-0.4
1073.7093575000001,-0.8
1073.709358,-0.8
1073.7093585,-1.2000000000000002
1073.709359,-1.0
1073.7093595000001,-1.4000000000000001
1073.70936,-1.2000000000000002
1073.7093605,-1.8
1073.7093610000002,-1.4000000000000001
1073.7093615,-1.8
1073.709362,-1.8
1073.7093625,-2.0
1073.7093630000002,-1.8
1073.7093635,-2.2
1073.709364,-2.0
1073.7093645,-2.2
